Games played: 100, Wins: 28, Losses: 68, Draws: 4, Win rate: 29.16667%, Epsilon: 0.9950
Games played: 200, Wins: 34, Losses: 59, Draws: 7, Win rate: 36.55914%, Epsilon: 0.9900
Games played: 300, Wins: 30, Losses: 65, Draws: 5, Win rate: 31.57895%, Epsilon: 0.9851
Games played: 400, Wins: 28, Losses: 67, Draws: 5, Win rate: 29.47368%, Epsilon: 0.9802
Games played: 500, Wins: 28, Losses: 68, Draws: 4, Win rate: 29.16667%, Epsilon: 0.9753
Games played: 600, Wins: 29, Losses: 68, Draws: 3, Win rate: 29.89691%, Epsilon: 0.9704
Games played: 700, Wins: 30, Losses: 62, Draws: 8, Win rate: 32.6087%, Epsilon: 0.9656
Games played: 800, Wins: 34, Losses: 64, Draws: 2, Win rate: 34.69388%, Epsilon: 0.9608
Games played: 900, Wins: 29, Losses: 64, Draws: 7, Win rate: 31.1828%, Epsilon: 0.9560
Games played: 1000, Wins: 33, Losses: 59, Draws: 8, Win rate: 35.86956%, Epsilon: 0.9512
Games played: 1100, Wins: 29, Losses: 68, Draws: 3, Win rate: 29.89691%, Epsilon: 0.9465
Games played: 1200, Wins: 33, Losses: 59, Draws: 8, Win rate: 35.86956%, Epsilon: 0.9418
Games played: 1300, Wins: 36, Losses: 62, Draws: 2, Win rate: 36.7347%, Epsilon: 0.9371
Games played: 1400, Wins: 31, Losses: 68, Draws: 1, Win rate: 31.31313%, Epsilon: 0.9324
Games played: 1500, Wins: 35, Losses: 62, Draws: 3, Win rate: 36.08247%, Epsilon: 0.9277
Games played: 1600, Wins: 29, Losses: 70, Draws: 1, Win rate: 29.29293%, Epsilon: 0.9231
Games played: 1700, Wins: 29, Losses: 69, Draws: 2, Win rate: 29.59184%, Epsilon: 0.9185
Games played: 1800, Wins: 29, Losses: 67, Draws: 4, Win rate: 30.20833%, Epsilon: 0.9139
Games played: 1900, Wins: 33, Losses: 61, Draws: 6, Win rate: 35.10638%, Epsilon: 0.9094
Games played: 2000, Wins: 35, Losses: 59, Draws: 6, Win rate: 37.23404%, Epsilon: 0.9048
Games played: 2100, Wins: 28, Losses: 68, Draws: 4, Win rate: 29.16667%, Epsilon: 0.9003
Games played: 2200, Wins: 34, Losses: 61, Draws: 5, Win rate: 35.78947%, Epsilon: 0.8958
Games played: 2300, Wins: 39, Losses: 56, Draws: 5, Win rate: 41.05263%, Epsilon: 0.8913
Games played: 2400, Wins: 32, Losses: 62, Draws: 6, Win rate: 34.04255%, Epsilon: 0.8869
Games played: 2500, Wins: 34, Losses: 59, Draws: 7, Win rate: 36.55914%, Epsilon: 0.8825
