Games played: 1000, Wins: 303, Win rate: 32.00%
Games played: 2000, Wins: 319, Win rate: 33.09%
Games played: 3000, Wins: 338, Win rate: 35.92%
Games played: 4000, Wins: 332, Win rate: 35.10%
Games played: 5000, Wins: 330, Win rate: 34.77%
Games played: 6000, Wins: 351, Win rate: 37.10%
Games played: 7000, Wins: 335, Win rate: 36.33%
Games played: 8000, Wins: 332, Win rate: 35.32%
Games played: 9000, Wins: 319, Win rate: 34.45%
Games played: 10000, Wins: 357, Win rate: 37.86%
Games played: 11000, Wins: 353, Win rate: 37.08%
Games played: 12000, Wins: 341, Win rate: 36.79%
Games played: 13000, Wins: 361, Win rate: 38.32%
Games played: 14000, Wins: 369, Win rate: 39.94%
Games played: 15000, Wins: 355, Win rate: 38.34%
Games played: 16000, Wins: 353, Win rate: 38.12%
Games played: 17000, Wins: 375, Win rate: 40.45%
Games played: 18000, Wins: 402, Win rate: 42.90%
Games played: 19000, Wins: 385, Win rate: 40.91%
Games played: 20000, Wins: 384, Win rate: 41.74%
Games played: 21000, Wins: 380, Win rate: 41.17%
Games played: 22000, Wins: 381, Win rate: 41.37%
Games played: 23000, Wins: 393, Win rate: 43.38%
Games played: 24000, Wins: 401, Win rate: 42.80%
Games played: 25000, Wins: 410, Win rate: 44.81%
Games played: 26000, Wins: 386, Win rate: 42.56%
Games played: 27000, Wins: 372, Win rate: 40.66%
Games played: 28000, Wins: 398, Win rate: 43.03%
Games played: 29000, Wins: 395, Win rate: 42.70%
Games played: 30000, Wins: 399, Win rate: 43.18%
Games played: 31000, Wins: 401, Win rate: 43.49%
Games played: 32000, Wins: 423, Win rate: 46.18%
Games played: 33000, Wins: 432, Win rate: 47.01%
Games played: 34000, Wins: 421, Win rate: 46.47%
Games played: 35000, Wins: 403, Win rate: 43.71%
Games played: 36000, Wins: 382, Win rate: 41.57%
Games played: 37000, Wins: 439, Win rate: 47.98%
Games played: 38000, Wins: 418, Win rate: 45.34%
Games played: 39000, Wins: 401, Win rate: 44.31%
Games played: 40000, Wins: 402, Win rate: 43.60%
Games played: 41000, Wins: 424, Win rate: 46.75%
Games played: 42000, Wins: 408, Win rate: 45.08%
Games played: 43000, Wins: 391, Win rate: 42.92%
Games played: 44000, Wins: 407, Win rate: 44.68%
Games played: 45000, Wins: 410, Win rate: 45.05%
Games played: 46000, Wins: 413, Win rate: 45.38%
Games played: 47000, Wins: 418, Win rate: 45.78%
Games played: 48000, Wins: 416, Win rate: 46.17%
Games played: 49000, Wins: 411, Win rate: 45.31%
Games played: 50000, Wins: 396, Win rate: 43.14%
Games played: 51000, Wins: 411, Win rate: 45.97%
Games played: 52000, Wins: 395, Win rate: 43.65%
Games played: 53000, Wins: 427, Win rate: 46.36%
Games played: 54000, Wins: 414, Win rate: 45.90%
Games played: 55000, Wins: 405, Win rate: 44.26%
Games played: 56000, Wins: 437, Win rate: 47.19%
Games played: 57000, Wins: 407, Win rate: 44.58%
Games played: 58000, Wins: 417, Win rate: 45.77%
Games played: 59000, Wins: 420, Win rate: 46.51%
Games played: 60000, Wins: 425, Win rate: 47.38%
Games played: 61000, Wins: 420, Win rate: 46.26%
Games played: 62000, Wins: 442, Win rate: 48.10%
Games played: 63000, Wins: 419, Win rate: 46.09%
Games played: 64000, Wins: 408, Win rate: 44.88%
Games played: 65000, Wins: 394, Win rate: 42.92%
Games played: 66000, Wins: 440, Win rate: 47.77%
Games played: 67000, Wins: 422, Win rate: 47.10%
Games played: 68000, Wins: 425, Win rate: 46.00%
Games played: 69000, Wins: 404, Win rate: 44.64%
Games played: 70000, Wins: 414, Win rate: 46.10%
Games played: 71000, Wins: 395, Win rate: 43.84%
Games played: 72000, Wins: 405, Win rate: 43.78%
Games played: 73000, Wins: 436, Win rate: 48.02%
Games played: 74000, Wins: 428, Win rate: 46.32%
Games played: 75000, Wins: 391, Win rate: 43.06%
Games played: 76000, Wins: 405, Win rate: 45.00%
Games played: 77000, Wins: 409, Win rate: 45.04%
Games played: 78000, Wins: 418, Win rate: 45.39%
Games played: 79000, Wins: 395, Win rate: 42.93%
Games played: 80000, Wins: 437, Win rate: 47.40%
Games played: 81000, Wins: 419, Win rate: 46.56%
Games played: 82000, Wins: 403, Win rate: 43.29%
Games played: 83000, Wins: 437, Win rate: 47.86%
Games played: 84000, Wins: 401, Win rate: 44.16%
Games played: 85000, Wins: 415, Win rate: 45.45%
Games played: 86000, Wins: 409, Win rate: 45.60%
Games played: 87000, Wins: 405, Win rate: 44.60%
Games played: 88000, Wins: 399, Win rate: 43.32%
Games played: 89000, Wins: 392, Win rate: 43.51%
Games played: 90000, Wins: 398, Win rate: 44.37%
Games played: 91000, Wins: 404, Win rate: 44.54%
Games played: 92000, Wins: 429, Win rate: 47.35%
Games played: 93000, Wins: 416, Win rate: 45.46%
Games played: 94000, Wins: 412, Win rate: 45.78%
Games played: 95000, Wins: 429, Win rate: 46.83%
Games played: 96000, Wins: 401, Win rate: 44.41%
Games played: 97000, Wins: 435, Win rate: 47.33%
Games played: 98000, Wins: 392, Win rate: 43.56%
Games played: 99000, Wins: 432, Win rate: 47.37%
Games played: 100000, Wins: 427, Win rate: 47.03%
